025-01-20 00:20:47,005 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 01:21:39,742 - doc_processing_api - INFO - Successfully analyzed CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 01:21:39,742 - doc_processing_api - INFO - Successfully analyzed CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 01:21:39,742 - doc_processing_api - INFO - Successfully analyzed CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 01:21:39,743 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:21:39,743 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:21:39,743 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:17:23,030 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:17:23,030 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:17:23,030 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:17:23,038 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:23,038 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:23,038 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:26,116 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:26,116 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:26,116 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:17:26,118 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:17:26,118 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:17:26,118 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:18:36,927 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:18:36,927 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:18:36,927 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:18:36,934 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa THIOR - CV 2.docx
2025-01-20 14:18:36,934 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa THIOR - CV 2.docx
2025-01-20 14:18:36,934 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa THIOR - CV 2.docx
